Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
DDM,0.3126315789473684,,904.0,46.40415399990161,34.0,1.0,1.0,0.0
EDDM,0.3126315789473684,,1472.0,34.029392001684755,72.0,1.0,3.0,0.0
EWMA,0.3126315789473684,,960.0,40.497030000551604,9.0,1.0,3.0,0.0
FHDDM,0.3126315789473684,,1744.0,35.250409000582295,41.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,53.68165799882263,25.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,40.037235001364024,74.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1264.0,51.01588799880119,35.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,52.77501300224685,37.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,90.23237899964442,47.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,79.78899299996556,56.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,68.30284200259484,35.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,33.44571799971163,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,36.319121998531045,102.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,39.839417000621324,13.0,1.0,0.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,46.08298300081515,199.0,1.0,0.0,0.0
ADWIN,0.36473684210526314,,6560.0,65.50575000073877,55.0,1.0,0.0,0.0
BWAF,0.36473684210526314,,1024.0,98.82985000149347,12.0,1.0,1.0,0.0
CDDM,0.36473684210526314,,8944.0,125.54932199782343,113.0,1.0,0.0,0.0
CUSUM,0.36473684210526314,,880.0,47.70869799904176,99.0,1.0,0.0,0.0
DDM,0.36473684210526314,,904.0,48.55945199960843,47.0,1.0,1.0,0.0
EDDM,0.36473684210526314,,1472.0,33.91057900080341,13.0,1.0,4.0,0.0
EWMA,0.36473684210526314,,960.0,40.4314620027435,10.0,1.0,3.0,0.0
FHDDM,0.36473684210526314,,1744.0,36.16641299959156,53.0,1.0,0.0,0.0
FHDDMS,0.36473684210526314,,1920.0,52.89160300162621,60.0,1.0,0.0,0.0
FHDDMS.add,0.36473684210526314,,1224.0,40.97460699995281,74.0,1.0,0.0,0.0
HDDM.A.test,0.36473684210526314,,1264.0,50.65711100178305,12.0,1.0,0.0,0.0
HDDM.W.test,0.36473684210526314,,2520.0,52.537513998686336,47.0,1.0,0.0,0.0
MDDM.A.100,0.36473684210526314,,1976.0,87.71152199915377,58.0,1.0,0.0,0.0
MDDM.E.100,0.36473684210526314,,1968.0,78.26911600204767,42.0,1.0,0.0,0.0
MDDM.G.100,0.36473684210526314,,1968.0,67.22154999806662,37.0,1.0,0.0,0.0
NO_DETECTION,0.36473684210526314,,320.0,32.941522000328405,255.0,0.0,0.0,1.0
PageHinkley,0.36473684210526314,,960.0,35.63394099910511,141.0,1.0,0.0,0.0
RDDM,0.36473684210526314,,64024.0,39.314024998020614,13.0,1.0,2.0,0.0
SeqDrift2,0.36473684210526314,,30272.0,45.151500999054406,199.0,1.0,0.0,0.0
ADWIN,0.36473684210526314,,6600.0,65.14655600039987,55.0,1.0,0.0,0.0
BWAF,0.36473684210526314,,1024.0,99.71512099946267,5.0,1.0,0.0,0.0
